numer_sta date pmer tend cod_tend dd ff t td u vv ww w1 w2 n nbas hbas cl cm ch pres niv_bar geop tend24 tn12 tn24 tx12 tx24 tminsol sw tw raf10 rafper per etat_sol ht_neige ssfrai perssfrai rr1 rr3 rr6 rr12 rr24 phenspe1 phenspe2 phenspe3 phenspe4 nnuage1 ctype1 hnuage1 nnuage2 ctype2 hnuage2 nnuage3 ctype3 hnuage3 nnuage4 ctype4 hnuage4
07280 20151025120000 102400 -100 8 90 2.500000 290.050000 284.750000 71 19700 0 0 0 0 0 0 0 0 0 99720 0 0 560 0 0 0 0 283.350000 0 0 4.300000 4.300000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07299 20151025120000 102380 -100 8 80 1.500000 290.950000 283.550000 62 30000 1 2 2 90 4 800 31 20 11 99180 0 0 570 0 0 0 0 282.550000 0 0 3.800000 3.800000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.200000 0.200000 0 0 0 0 4 8 900 5 0 8000 0 0 0 0 0 0
07314 20151025120000 102450 -110 6 110 2.900000 288.450000 284.650000 78 13000 3 2 0 90 7 1250 35 0 0 102170 0 0 640 0 0 0 0 0 0 0 5.800000 6.600000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 7 6 1000 0 0 0 0 0 0 0 0 0
07335 20151025120000 102450 -120 8 60 2.700000 287.450000 283.850000 79 59870 1 2 2 90 7 450 38 0 0 101010 0 0 730 0 0 0 0 278.250000 0 0 4.600000 5.300000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 3 8 420 6 6 720 0 0 0 0 0 0
07434 20151025120000 102280 -100 8 90 0.800000 289.050000 283.150000 68 49930 2 2 2 75 6 450 32 20 11 97570 0 0 510 0 0 0 0 283.650000 0 0 3.100000 4.000000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 6 8 510 1 0 8000 0 0 0 0 0 0
07460 20151025120000 102320 -140 8 220 1.200000 289.150000 283.250000 68 31700 0 0 0 0 2 1250 0 0 0 98490 0 0 590 0 0 0 0 0 0 0 3.900000 3.900000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 2 0 1050 5 0 7140 0 0 0 0 0 0
07471 20151025120000 0 -110 8 70 2.000000 284.250000 282.350000 88 16010 0 0 0 100 8 450 0 0 0 92750 0 856 360 0 0 0 0 0 0 0 3.600000 3.800000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 8 0 300 0 0 0 0 0 0 0 0 0
07481 20151025120000 102300 -160 8 330 4.000000 290.350000 283.450000 64 35030 0 2 2 0 1 800 0 0 0 99470 0 0 370 0 0 0 0 0 0 0 5.800000 7.900000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 1 0 750 3 0 6540 0 0 0 0 0 0
07510 20151025120000 102330 -140 8 120 2.900000 288.450000 286.250000 87 19640 0 2 2 100 8 250 36 0 0 101750 0 0 450 0 0 0 0 285.250000 0 0 4.400000 4.400000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 8 7 240 0 0 0 0 0 0 0 0 0
07535 20151025120000 102230 -140 8 320 1.800000 291.450000 284.750000 65 20000 0 0 0 0 0 0 0 0 0 99180 0 0 310 0 0 0 0 283.450000 0 0 3.400000 3.500000 -10 0 0.000000 0 0 0.000000 0.000000 0.200000 0.200000 0.200000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07558 20151025120000 102060 -120 8 190 2.300000 288.350000 284.150000 76 19360 0 0 0 0 0 0 0 0 0 93900 0 0 90 0 0 0 0 281.350000 0 0 3.200000 4.800000 -10 0 0.000000 0 0 0.000000 0.000000 -0.100000 -0.100000 -0.100000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07577 20151025120000 102130 -180 8 30 5.400000 291.650000 284.450000 63 30000 3 2 2 90 4 0 30 23 12 101250 0 0 -20 0 0 0 0 0 0 0 8.900000 10.500000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 4 3 4000 6 0 7500 0 0 0 0 0 0
07591 20151025120000 0 -210 8 200 0.800000 290.950000 277.850000 42 20000 0 0 0 0 0 0 0 0 0 92060 0 1551 -90 0 0 0 0 0 0 0 3.500000 3.900000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07607 20151025120000 102230 -170 8 140 2.600000 291.950000 286.350000 70 45000 0 0 0 0 0 800 0 0 0 101530 0 0 0 0 0 0 0 0 0 0 0 4.100000 -10 0 0.000000 0 0 0 0.000000 0.200000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07621 20151025120000 102130 -160 8 40 2.400000 291.750000 285.450000 67 38470 0 0 0 0 5 800 0 0 0 97910 0 0 190 0 0 0 0 284.550000 0 0 4.600000 4.700000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 1 0 660 3 0 810 5 0 1140 0 0 0
07627 20151025120000 102120 -170 8 350 1.800000 291.850000 284.150000 61 20000 0 0 0 0 3 800 0 0 0 97330 0 0 170 0 0 0 0 283.450000 0 0 3.800000 4.400000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 3 0 990 0 0 0 0 0 0 0 0 0
07630 20151025120000 102190 -170 8 40 2.300000 292.950000 285.650000 63 19270 0 0 0 0 2 5520 0 0 0 100430 0 0 230 0 0 0 0 282.150000 0 0 4.300000 4.300000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 2 0 5520 0 0 0 0 0 0 0 0 0
07643 20151025120000 102130 -120 7 20 2.400000 293.750000 285.150000 58 30000 1 0 0 50 1 3000 30 23 12 102040 0 0 -20 0 0 0 0 283.550000 0 0 5.100000 6.400000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 1 3 3000 4 0 6800 0 0 0 0 0 0
07650 20151025120000 102100 -60 8 260 2.000000 289.750000 284.650000 72 18000 2 2 2 90 1 6000 30 23 12 101720 0 0 -30 0 0 0 0 280.850000 0 0 2.700000 3.500000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.200000 0.200000 0 0 0 0 1 3 6000 7 0 8000 0 0 0 0 0 0
07661 20151025120000 102090 -30 8 80 3.500000 292.750000 287.950000 74 25000 3 2 0 100 8 4000 30 27 0 100520 0 0 -30 0 0 0 0 0 0 0 6.500000 6.500000 -10 0 0 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 8 3 4000 0 0 0 0 0 0 0 0 0
07690 20151025120000 102190 -20 8 120 1.600000 292.350000 286.550000 69 30000 2 2 2 90 1 450 31 20 12 101880 0 0 90 0 0 0 0 285.450000 0 0 2.500000 3.200000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 2 8 510 7 0 6500 0 0 0 0 0 0
07747 20151025120000 102180 -70 8 50 5.200000 292.950000 282.550000 51 52860 0 0 0 0 0 0 0 0 0 101660 0 0 220 0 0 0 0 281.950000 0 0 7.100000 8.800000 -10 0 0.000000 0 0 0.000000 0.000000 0.000000 0.000000 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
07761 20151025120000 102170 -60 8 220 1.500000 292.450000 287.650000 74 50000 1 2 2 60 1 800 31 27 12 102060 0 0 100 0 0 0 0 285.250000 0 0 2.300000 3.800000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 -0.100000 0 0 0 0 1 8 700 2 3 5000 5 0 7000 0 0 0
07790 20151025120000 102160 -110 8 120 1.900000 293.050000 285.350000 61 50000 3 2 2 90 1 1250 35 20 12 102020 0 0 120 0 0 0 0 284.750000 0 0 3.700000 3.700000 -10 0 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 -0.100000 0 0 0 0 1 6 1000 7 0 8000 0 0 0 0 0 0
